student_id,subject_id,mark
96706,583,2
54983,267,2
61253,930,2
70230,400,2
21547,939,2
14971,495,2
87607,226,2
54795,903,2
52630,971,2
29531,850,2
92519,184,2
25196,300,2
60917,890,2
55631,282,2
80319,786,2
16879,581,2
52837,938,2
3171,728,2
13041,419,2
75356,24,2
96049,317,2
38629,777,2
25447,963,2
63234,541,2
58261,320,2
50439,745,2
61408,358,2
40774,767,2
55973,893,2
58117,122,2
37214,855,2
12288,596,2
74934,417,2
64706,914,2
53134,896,2
65474,449,2
24561,626,2
56298,140,2
90536,553,2
16712,826,2
76132,673,2
75875,260,2
73881,460,2
97972,755,2
10750,967,2
77225,876,2
51453,905,2
4609,336,2
20622,809,2
20043,218,2
41417,582,2
12586,885,2
77568,772,2
71290,916,2
68490,266,2
34651,456,2
22280,133,2
67938,652,2
43923,715,2
34644,552,2
96882,538,2
68088,565,2
73751,981,2
20219,996,2
23510,801,2
45504,361,2
62457,859,2
54364,977,2
36670,735,2
66877,686,2
90329,429,2
18478,744,2
74714,5,2
69813,609,2
9120,21,2
57256,444,2
93250,984,2
26806,722,2
9737,425,2
15782,314,2
24320,69,2
91077,299,2
88375,51,2
61153,708,2
36934,926,2
87982,453,2
94785,794,2
7868,736,2
81644,635,2
52722,88,2
81676,589,2
86957,455,2
17886,181,2
56922,689,2
79340,321,2
99690,898,2
44212,218,2
60376,210,2
54027,165,2
59256,95,2
85995,357,2
73865,794,2
66731,500,2
71047,701,2
23529,379,2
89652,285,2
42615,819,2
91192,86,2
34617,213,2
16980,329,2
20775,586,2
5806,709,2
43107,55,2
15772,330,2
32394,731,2
70069,369,2
41471,644,2
91720,167,2
92715,948,2
9305,393,2
73923,498,2
18109,503,2
18596,178,2
77307,465,2
88908,269,2
33756,588,2
35328,645,2
54801,755,2
41116,291,2
81128,131,2
6083,338,2
94443,419,2
22850,143,2
40191,515,2
16198,641,2
64874,29,2
78483,590,2
91798,740,2
73723,192,2
48490,770,2
69478,375,2
90812,712,2
56825,944,2
65789,109,2
12453,951,2
65330,386,2
50728,762,2
52191,27,2
40120,143,2
91526,207,2
8964,743,2
1675,707,2
14491,254,2
5085,81,2
4804,127,2
91490,793,2
61625,84,2
62899,977,2
94974,173,2
50502,507,2
52919,653,2
62267,568,2
7221,108,2
99069,508,2
18405,456,2
17897,474,2
6078,486,2
80986,299,2
42208,461,2
36542,67,2
79184,640,2
35999,522,2
34601,425,2
11507,842,2
54415,625,2
67300,445,2
32558,771,2
44871,444,2
22003,719,2
61418,201,2
59950,707,2
70999,199,2
38527,824,2
25442,833,2
34083,945,2
66370,266,2
54775,749,2
24478,40,2
83524,343,2
72628,140,2
7355,732,2
45107,516,2
64490,834,2
70700,288,2
58641,72,2
65051,108,2
37705,556,2
68050,67,2
9191,355,2
74455,874,2
67289,659,2
13245,181,2
82371,889,2
50767,19,2
24676,840,2
39484,658,2
35840,185,2
69709,349,2
34871,393,2
77328,359,2
46897,900,2
57098,35,2
93677,454,2
83671,826,2
6842,869,2
2208,434,2
99016,697,2
69827,386,2
62047,975,2
10047,783,2
43573,51,2
26928,39,2
47213,676,2
83259,458,2
7837,522,2
1712,629,2
4610,327,2
43970,783,2
46450,770,2
26940,950,2
31900,836,2
10249,401,2
68754,799,2
41911,550,2
41907,158,2
49195,620,2
33209,603,2
82990,55,2
82852,996,2
86849,804,2
60423,203,2
74831,514,2
53418,975,2
58155,330,2
64917,627,2
20133,21,2
42308,972,2
64974,937,2
71119,489,2
21314,274,2
50906,819,2
56269,815,2
3270,671,2
61725,957,2
74376,750,2
51759,181,2
68039,627,2
64178,445,2
11721,954,2
37813,38,2
83983,321,2
71574,73,2
83516,87,2
42949,169,2
98155,806,2
50676,906,2
7337,194,2
35453,533,2
42957,867,2
16216,446,2
8180,654,2
61948,777,2
94211,28,2
76325,682,2
61528,251,2
62552,660,2
81742,610,2
7864,305,2
71615,485,2
5515,286,2
13690,673,2
95173,348,2
71622,362,2
37806,565,2
50875,310,2
21410,739,2
18823,804,2
73405,345,2
81186,4,2
79013,903,2
84843,887,2
47281,626,2
45326,663,2
94447,909,2
61118,439,2
17057,570,2
33234,502,2
50645,867,2
99816,403,2
80595,140,2
16429,926,2
73628,530,2
13612,36,2
50176,761,2
37864,244,2
90890,123,2
78924,641,2
35513,458,2
54607,342,2
25971,475,2
68113,647,2
55866,780,2
83941,875,2
36812,35,2
31091,830,2
67036,128,2
58738,90,2
42293,17,2
91128,809,2
5746,191,2
65762,876,2
46023,820,2
55202,820,2
91155,70,2
99561,421,2
89930,45,2
66006,875,2
39689,672,2
94356,258,2
2511,647,2
51491,782,2
72210,710,2
97266,850,2
62769,119,2
15960,676,2
3198,427,2
89173,12,2
84106,397,2
97347,261,2
17591,517,2
48293,527,2
49255,397,2
56330,274,2
44880,926,2
61729,33,2
90633,238,2
36563,911,2
3503,134,2
20609,674,2
37017,748,2
95394,796,2
44752,145,2
13523,667,2
73221,469,2
88493,443,2
57138,224,2
55715,68,2
20760,810,2
73153,448,2
53722,287,2
90298,193,2
26090,495,2
85953,170,2
16593,771,2
71730,633,2
67709,150,2
